OBJECTID,Date,Latitude,Longitude,Oceans,Regions,Location,Microplastics Measurement (density),Unit,Density Range,Concentration Class,Sampling Method,Organization
13335,10/26/2015,43.256167,6.72,Atlantic Ocean,mediterranean sea,Other,0.105243,pieces/m3,0.005-1,Medium,Manta net,"Oceaneye Association,  Switzerland"
13384,6/1/2016,43.033333,6.226667,Atlantic Ocean,mediterranean sea,Other,0.031997,pieces/m3,0.005-1,Medium,Manta net,"Oceaneye Association,  Switzerland"
6351,7/10/2002,56.61,-134.58,Pacific Ocean,coastal waters of southeast alaska and british columbia,Other,0.0,pieces/m3,0-0.0005,Very Low,Neuston net,Sea Education Association
13962,1/12/2014,60.6995,-1.402667,Atlantic Ocean,north atlantic ocean,Other,0.004064,pieces/m3,0.0005-0.005,Low,Neuston net,Marine Scotland Science
10716,6/4/2015,42.02,3.236667,Atlantic Ocean,mediterranean sea,Other,0.036,pieces/m3,0.005-1,Medium,Manta net,University of Barcelona
12290,12/9/2019,45.246833,-129.051333,Pacific Ocean,north pacific ocean,Other,0.100357,pieces/m3,0.005-1,Medium,Manta net,"The Ocean Cleanup, Rotterdam, The Netherlands"
19323,3/29/2021,43.1023,-124.4326,Pacific Ocean,north pacific ocean,Other,,pieces/10 mins,200,Very High,Hand picking,University of Texas Marine Science Institute
6339,7/1/2002,48.2,-122.92,Pacific Ocean,coastal waters of southeast alaska and british columbia,Other,0.0,pieces/m3,0-0.0005,Very Low,Neuston net,Sea Education Association
19913,7/30/2021,43.0168,-79.0211,Atlantic Ocean,north atlantic ocean,Other,,pieces/10 mins,0,Very Low,Hand picking,University of Texas Marine Science Institute
19962,9/17/2021,42.678,-79.0525,Atlantic Ocean,north atlantic ocean,Other,,pieces/10 mins,0,Very Low,Hand picking,University of Texas Marine Science Institute
17663,1/10/2020,32.7759,-79.9252,Atlantic Ocean,north atlantic ocean,Other,,pieces/10 mins,2-40,Medium,Hand picking,University of Texas Marine Science Institute
3597,5/18/1996,31.97,-68.35,Atlantic Ocean,north atlantic ocean,Other,0.049384,pieces/m3,0.005-1,Medium,Neuston net,Sea Education Association
400,5/7/1992,32.1,-64.95,Atlantic Ocean,north atlantic ocean,Other,0.053996,pieces/m3,0.005-1,Medium,Neuston net,Sea Education Association
941,5/27/1995,35.27,-64.68,Atlantic Ocean,north atlantic ocean,Other,0.024292,pieces/m3,0.005-1,Medium,Neuston net,Sea Education Association
